"program_names","program_channel_ids","channel_name"
"P1 Specialprogram","132","P1"
"Finnmix","209","P4 Norrbotten"
"Plånboken","132","P1"
"Stil","132","P1"
"Medierna","132","P1"
"Morgon i P4 Dalarna","223","P4 Dalarna"
"Utblick Sápmi","224","SR Sápmi"
"Eftermiddag i P4 Stockholm","701","P4 Stockholm"
"P5 STHLM","2842","P5 STHLM"
"Trafik och service P4 Göteborg","212","P4 Göteborg"
"Trafik och service P4 Malmöhus","207","P4 Malmöhus"
"Trafik och service P4 Stockholm","701","P4 Stockholm"
"Radiosportens nyhetssändningar","179","P4 Radiosporten"
"Juniorsporten","1000","Barnwebben"
"Musikguiden i P3: Osignat","164","P3"
"Alla balla kan","1000","Barnwebben"
"Förmiddag i P4 Väst","219","P4 Väst"
"Radiokorrespondenterna","132","P1"
"Musikmagasinet","163","P2"
"Förmiddag i P4 Sörmland","202","P4 Sörmland"
"Morgon i P4 Västmanland","217","P4 Västmanland"
"Förmiddag i P4 Västmanland","217","P4 Västmanland"
"Eftermiddag i P4 Västmanland","217","P4 Västmanland"
"Viskvarten","1000","Barnwebben"
"Schlagerkvarten","1000","Barnwebben"
"Barnradion","1000","Barnwebben"
"Åarjelsaemien","224","SR Sápmi"
"Julkalendern 2010: De vilda helgonen","1000","Barnwebben"
"Vi i femman","1000","Barnwebben"
"Kino","132","P1"
"Verkligheten i P3","164","P3"
"Eftermiddag i P4 Uppland","218","P4 Uppland"
"Ekots lördagsintervju","132","P1"
"P4 Dokumentär","158","Unknown channel"
"Teologiska rummet","132","P1"
"Karlavagnen","158","Unknown channel"
"Morgon i P4 Örebro","221","P4 Örebro"
"Magiska skrinet: Noaidegiisá","224","SR Sápmi"
"P4 Dans","158","Unknown channel"
"Allvarligt talat","132","P1"
"Svensktoppen nästa","158","Unknown channel"
"Elfving möter","158","Unknown channel"
"Unga Radioteatern","1000","Barnwebben"
"Pauline i stallet","1000","Barnwebben"
"Sveriges Radio i Almedalen","83","Unknown channel"
"Magiska skrinet: Di farkishefte pishke","166","Radio Sweden P6"
"Magiska skrinet: E sumnakane romane paramicha","166","Radio Sweden P6"
"P2-fågeln","163","P2"
"Förmiddag i P4 Uppland","218","P4 Uppland"
"Klassikern","132","P1"
"Förmiddag i P4 Jämtland","200","P4 Jämtland"
"P4 Musik","158","Unknown channel"
"Klotet","132","P1"
"Morgon i P4 Kristianstad","211","P4 Kristianstad"
"Förmiddag i P4 Kristianstad","211","P4 Kristianstad"
"Morgon i P4 Jämtland","200","P4 Jämtland"
"Förmiddag i P4 Västernorrland","216","P4 Västernorrland"
"Morgon i P4 Västernorrland","216","P4 Västernorrland"
"Morgon i P4 Malmöhus","207","P4 Malmöhus"
"Tendens","132","P1"
"Humorhimlen","164","P3"
"Buorre Idit Sápmi","224","SR Sápmi"
"Ekot granskar","83","Unknown channel"
"Förmiddag i P4 Malmöhus","207","P4 Malmöhus"
"Båtlivet i P4","158","Unknown channel"
"Lilla Al-Fadji","164","P3"
"Ekonomiekot Lördag","132","P1"
"Eftermiddag i P4 Blekinge","213","P4 Blekinge"
"Barnens Romanpris","1000","Barnwebben"
"Radiopsykologen","132","P1"
"Tankesmedjan","164","P3"
"Förmiddag P4 Värmland","204","P4 Värmland"
"Eftermiddag P4 Värmland","204","P4 Värmland"
"DJ Clabbe","158","Unknown channel"
"Mánáidrádio","224","SR Sápmi"
"P4 specialprogram","158","Unknown channel"
"Förmiddag i P4 Stockholm","701","P4 Stockholm"
"Uggla i P4","158","Unknown channel"
"Medieormen ","88","Unknown channel"
"Ligga med P3","164","P3"
"Musikhjälpen 2015","164","P3"
"Junior i P4","1000","Barnwebben"
"Roketti","1000","Barnwebben"
"Hálgu","224","SR Sápmi"
"Rádio Sápmi","224","SR Sápmi"
"Julevsámebåddå","224","SR Sápmi"
"Nyheter från Vetenskapsradion","406","Unknown channel"
"Apiga önskningar","1000","Barnwebben"
"Eftermiddag i P4 Halland","220","P4 Halland"
"Doj-Dojs hotell","1000","Barnwebben"
"Nordegren & Epstein i P1","132","P1"
"Musikguiden i P3 ","164","P3"
"Magiska skrinet: Maaginen kriini","226","SR Sisuradio"
"1000 modiga frågor","1000","Barnwebben"
"P3 Spel","164","P3"
"Kluvet land","132","P1"
"Mira 13","1000","Barnwebben"
"P2 Dokumentär","163","P2"
"Institutet","164","P3"
"Kesäpuhujat","226","SR Sisuradio"
"Morgon i P4 Västerbotten","215","P4 Västerbotten"
"Julkalendern 2011: Allt du önskar","1000","Barnwebben"
"Morgon i P4 Göteborg","212","P4 Göteborg"
"Morgon i P4 Kalmar","201","P4 Kalmar"
"Förmiddag i P4 Kalmar","201","P4 Kalmar"
"Radioapans bananbra sånger","1000","Barnwebben"
"Speedwaypodden","201","P4 Kalmar"
"PP3 ","164","P3"
"Eftermiddag i P4 Kalmar","201","P4 Kalmar"
"P3 Musik","164","P3"
"Carpe F*****G Diem ","164","P3"
"Radiodokumentärerna   #radiodok","88","Unknown channel"
"Morgon i P4 Halland","220","P4 Halland"
"Lundströms Bokradio","132","P1"
"Sisutarinat","226","SR Sisuradio"
"FotbollsArena Radiosporten","179","P4 Radiosporten"
"Julkalendern 2012: Siri och ishavspiraterna","1000","Barnwebben"
"Katarina Hahr möter","132","P1"
"Klassisk morgon ","163","P2"
"P2 på hemväg","163","P2"
"P2 Live","163","P2"
"Musik mot midnatt","163","P2"
"Lördagsmorgon i P2","163","P2"
"Söndagsmorgon i P2","163","P2"
"Jazzradion","163","P2"
"Elektroniskt i P2","163","P2"
"Klingan","163","P2"
"Bänkad med Ella","163","P2"
"Radioteaterbiblioteket","132","P1"
"Spänning","1000","Barnwebben"
"Fredag i P3","164","P3"
"Istid - Radiosportens hockeypodd","179","P4 Radiosporten"
"Lantzkampen","132","P1"
"Morgon i P4 Sjuhärad","206","P4 Sjuhärad"
"Förmiddag i P4 Sjuhärad","206","P4 Sjuhärad"
"Eftermiddag i P4 Sjuhärad","206","P4 Sjuhärad"
"P1 om solidaritet","132","P1"
"Eftermiddag i P4 Dalarna","223","P4 Dalarna"
"Sommarlov","1000","Barnwebben"
"Bästa Minnet","132","P1"
"Terapioffer","158","Unknown channel"
"Viggo och Olga fiskar","1000","Barnwebben"
"Förmiddag i P4 Gotland","205","P4 Gotland"
"Radioapan och hans vänner","1000","Barnwebben"
"Radioapan i Sagoskogen","1000","Barnwebben"
"Radioapans alfabet - sånger","1000","Barnwebben"
"Radioapans sifferlek - sånger","1000","Barnwebben"
"Radioapans sånger om små ord","1000","Barnwebben"
"Radioapans kroppensånger","1000","Barnwebben"
"Ekot","83","Unknown channel"
"Musikguiden i P3: DJ-set och mixar","164","P3"
"Musikguiden i P3: Gästredaktör","164","P3"
"Musikguiden i P3: Session & Live","164","P3"
"Musikguiden i P3: Musiken i P3","164","P3"
"Radioapans väderlekar - sånger","1000","Barnwebben"
"Svenska berättelser","132","P1"
"Söndagarna med Stina Wollter","158","Unknown channel"
"Helt sant!","1000","Barnwebben"
"Forskarliv","132","P1"
"Lördag med Lisa","158","Unknown channel"
"P3 med Rikard Weijmer","164","P3"
"P1 Debatt","132","P1"
"Kritiken","132","P1"
"Radiosporten Dokument","179","P4 Radiosporten"
"Novellklubben","1000","Barnwebben"
"Fredagsdisco","1000","Barnwebben"
"Christer och Morgan rapporterar ","164","P3"
"P3 Älskar","164","P3"
"Amelie frågar chans","1000","Barnwebben"
"SöndagsMorgan i P4","158","Unknown channel"
"Människans mått","132","P1"
"Ridpodden","164","P3"
"Pyramiden","132","P1"
"High Tower (2014 års julkalender)","1000","Barnwebben"
"P4 Världen","158","Unknown channel"
"Radionovellen","132","P1"
"Popula","226","SR Sisuradio"
"Det politiska spelet","2332","Unknown channel"
"Snedtänkt med Kalle Lind","2332","Unknown channel"
"Älgtrubbel","1000","Barnwebben"
"Radioapans frågesport","1000","Barnwebben"
"P3 Osignat - Topp 10","164","P3"
"Kulturreportaget","132","P1"
"Grönsakslandet","2332","Unknown channel"
"Jukeboxen i P4 ","158","Unknown channel"
"Mozartalmanackan","163","P2"
"Men Herre Gud!","2332","Unknown channel"
"Morgonpasset i P3 - Gästen","164","P3"
"Ljudklappar från Unga Radioteatern","2332","Unknown channel"
"P3 Om ","164","P3"
"Efter sex","158","Unknown channel"
"Känd från internet","164","P3"
"TV-seriepodden","164","P3"
"Söndagsintervjun","132","P1"
"Utrikeskrönikan","132","P1"
"Gästlistan i P2","163","P2"
"Spotlight med Kerstin Berggren","2332","Unknown channel"
"Viikon Sibbe","226","SR Sisuradio"
"Veckans boss med Tankesmedjan","164","P3"
"Pianorullarna","163","P2"
"Ögonblicket med Mohamed El Abed","2332","Unknown channel"
"Världens bästa radioshow","1000","Barnwebben"
"Mellopodden","2332","Unknown channel"
"Barnradions poddpaket","1000","Barnwebben"
"Den svenska musikhistorien","163","P2"
"Relationsdomstolen med P3 Din Gata","164","P3"
"Suomalaisia sotaveteraaneja Ruotsissa","226","SR Sisuradio"
"Radioapans godnattkvart","1000","Barnwebben"
"Teaterprogrammet","132","P1"
"Våra egna rum","132","P1"
"Lunch i P4 Stockholm","701","P4 Stockholm"
"Magnus Uggla - den ängslige reportern","158","Unknown channel"
"Relationsradion i P3","164","P3"
"Musikguiden i P3 - serier","164","P3"
"P3 Humor presenterar","164","P3"
"Vår bästa vän","158","Unknown channel"
"Svenska ikoner","158","Unknown channel"
"Creepypodden med Jack Werner","2332","Unknown channel"
"Kronologen från Musikguiden i P3","164","P3"
"Psyket","164","P3"
"Sverige är finskt","132","P1"
"Veckans podd","132","P1"
"P4 Sisuradio","226","SR Sisuradio"
"Småsagor","158","Unknown channel"
"SR minns Tage Danielsson","132","P1"
"Stockholmstrafiken på 60 sek","701","P4 Stockholm"
"Operaguiden","163","P2"
"Soilin seurassa","226","SR Sisuradio"
"Flyktvägen","83","Unknown channel"
"Kielipuoli","226","SR Sisuradio"
"Motioner med Moa","164","P3"
"Kulttuurikeskustelu Koukku","226","SR Sisuradio"
"Konsertti","226","SR Sisuradio"
"Sveriges Radio tycker om film","2332","Unknown channel"
"Hypoteket","164","P3"
